SaleId,CustomerId,ProductId,Date,Quantity,NetAmount,Discount
54,C053749,P812662,2024-02-14,4,1936.38,435.38
55,C171072,P722265,2025-03-22,8,3588.06,162.1
56,C450811,P319092,2025-04-19,2,1463.47,255.85
57,C721441,P831530,2025-01-18,7,2479.82,49.63
58,C677641,P825163,2023-12-23,7,6762.61,786.05
59,C670454,P649669,2025-02-04,1,894.85,168.51
60,C384972,P864947,2023-02-25,5,3079.87,464.68
61,C403269,P415103,2024-08-01,3,2858.93,254.38
62,C189904,P571543,2023-06-06,1,663.34,134.34
63,C184840,P944501,2025-02-09,2,873.25,51.33
64,C931160,P106633,2023-06-01,3,1412.85,129.63
65,C670326,P812662,2025-02-02,1,511.68,81.26
66,C582775,P880163,2024-02-13,7,6471.96,1552.35
67,C614032,P375734,2024-05-07,4,3204.44,445.12
68,C494998,P812662,2023-07-20,4,2228.08,143.68
69,C502141,P207957,2023-11-28,2,2135.08,61.8
70,C225608,P517566,2024-01-10,6,274.8,13.74
71,C423598,P042751,2025-02-27,5,764.43,33.77
72,C894333,P885695,2024-09-30,3,2429.86,300.68
73,C789728,P842673,2024-12-02,6,3795.25,154.01
74,C168088,P880163,2023-04-26,1,1076.68,69.65
75,C121868,P934771,2025-06-08,5,301.81,1.04
76,C391908,P062363,2023-11-09,8,7558.78,1009.3
77,C351396,P710221,2025-01-27,4,44.61,2.39
78,C698071,P835266,2024-07-15,8,6210.23,1145.77
79,C582636,P208124,2024-01-21,1,1003.49,68.46
80,C058008,P899452,2023-07-25,5,1502.64,20.21
81,C336267,P373228,2023-03-10,7,404.08,79.9
82,C064761,P644241,2025-06-04,2,1961.48,9.4
83,C870680,P776014,2023-08-25,7,6675.54,972.31
84,C739001,P330689,2025-07-14,6,3070.37,423.31
85,C940255,P309407,2023-04-01,3,2620.41,137.1
86,C833710,P775751,2025-08-06,1,522.1,5.24
87,C463384,P800050,2023-12-08,8,5026.09,548.23
88,C353953,P208124,2023-12-22,6,5860.28,571.42
89,C588080,P384081,2024-05-28,5,412.06,104.94
90,C147751,P065667,2025-06-18,7,323.19,92.54
91,C617575,P883409,2023-10-14,4,1397.05,55.07
92,C184840,P238925,2023-03-31,7,804.08,120.34
93,C744651,P649669,2024-03-03,4,3644.24,609.2
94,C486458,P720285,2025-07-20,6,4960.65,627.51
95,C737820,P679216,2024-10-30,3,2962.09,503.39
96,C637717,P842673,2025-06-02,3,1822.09,152.54
97,C737329,P387975,2025-07-20,3,1337.98,161.18
98,C661082,P934771,2024-11-02,3,167.29,14.42
99,C021889,P309407,2025-01-06,2,1753.71,84.63
100,C196874,P444405,2025-02-22,6,2109.94,595.22
101,C225608,P900194,2023-11-07,8,2078.84,476.28
102,C960979,P937934,2023-06-05,4,3980.79,109.17
103,C587602,P042751,2025-02-19,5,677.35,120.85
104,C311649,P371270,2024-09-02,4,3721.67,228.01
105,C652614,P496878,2023-03-23,8,2039.89,70.75
106,C381866,P833885,2024-12-30,6,3385.82,163.24
107,C693755,P382115,2024-04-30,3,2813.75,120.13
108,C645264,P038166,2024-02-23,1,211.68,63.71
109,C225608,P571543,2025-01-30,4,2586.26,604.46
110,C370499,P755976,2025-08-07,8,2172.21,601.23
111,C553918,P722265,2025-06-06,8,2918.01,832.15
112,C486458,P731812,2025-03-05,1,966.19,173.16
113,C063646,P327724,2024-02-08,1,98.47,14.74
114,C377666,P820680,2025-04-26,1,448.41,126.07
115,C032137,P498694,2024-07-04,7,3632.05,1184.72
116,C005507,P883409,2024-02-01,1,345.8,17.23
117,C314388,P525569,2025-06-24,5,3658.61,877.34
118,C837588,P222288,2023-06-20,7,1241.25,98.62
119,C910397,P498694,2025-07-14,3,1825.09,239.24
120,C746305,P727843,2023-04-03,2,31.75,1.49
121,C327391,P489519,2023-05-19,7,1359.19,156.73
122,C365319,P042751,2023-07-03,8,1088.64,188.48
123,C506128,P842673,2025-06-22,8,5146.97,118.71
124,C341018,P539972,2025-01-05,2,2276.37,53.11
125,C737329,P727843,2024-10-11,6,97.59,2.13
126,C991202,P776014,2025-01-14,3,2967.36,310.29
127,C063646,P471980,2025-02-25,3,2023.95,597.96
128,C946606,P661845,2023-06-16,3,475.42,22.25
129,C506128,P676501,2024-03-05,5,288.96,24.24
130,C984351,P944501,2023-10-23,3,1346.11,40.76
131,C737820,P842673,2023-01-04,5,3281.01,10.04
132,C030990,P814985,2024-07-10,1,324.18,58.11
133,C058454,P384081,2023-08-11,8,733.37,93.83
134,C497757,P010283,2024-09-07,1,134.72,8.78
135,C115823,P116216,2024-09-26,4,4043.69,50.07
136,C697485,P141272,2024-10-30,6,4507.56,41.76
137,C309883,P319092,2025-05-08,5,3942.5,355.8
138,C882843,P175136,2023-04-22,7,2385.06,788.39
139,C247952,P899452,2024-09-17,3,692.98,220.73
140,C006043,P721433,2024-01-04,1,1169.69,27.88
141,C721441,P155817,2024-01-13,7,296.59,76.51
142,C372107,P201973,2025-05-13,2,907.35,71.67
143,C092090,P045043,2024-12-12,5,4109.27,368.53
144,C225608,P387975,2023-08-03,4,1693.02,305.86
145,C857331,P812662,2025-01-17,2,1042.49,143.39
146,C708207,P159362,2024-03-13,6,4181.63,290.29
147,C561221,P515811,2025-08-07,3,1580.42,286.75
148,C030990,P801232,2025-01-16,8,5110.0,717.52
149,C698013,P371270,2024-12-26,5,3728.43,1208.67
150,C602276,P429026,2023-01-25,8,6623.82,1227.7
151,C022351,P710221,2025-03-29,7,73.74,8.51
152,C593378,P442180,2024-07-27,4,629.5,1.78
153,C744441,P899452,2023-09-18,2,562.27,46.87
154,C187066,P566556,2023-11-28,1,1060.11,31.05
155,C593378,P465110,2024-02-10,1,269.73,70.84
156,C808405,P980619,2025-05-03,6,4600.1,1378.48
157,C949034,P992250,2025-03-27,1,483.52,93.07
158,C370660,P450984,2024-10-04,8,5832.92,1674.2
159,C593747,P825163,2024-04-18,7,5797.77,1750.89
160,C677641,P801232,2023-11-03,6,3764.02,606.62
161,C298363,P710221,2024-08-14,6,56.41,14.09
162,C948746,P627467,2023-06-02,5,4612.05,1227.35
163,C686511,P168876,2024-10-03,3,1305.74,217.42
164,C621743,P796107,2024-09-01,2,1419.62,391.46
165,C831880,P800050,2024-12-23,6,3438.83,741.91
166,C006026,P900194,2023-03-30,8,1994.88,560.24
167,C333840,P727843,2025-04-29,5,78.61,4.49
168,C588080,P696956,2023-04-25,6,4117.86,1005.36
169,C620354,P842673,2025-07-24,2,1170.37,146.05
170,C535425,P306313,2025-07-15,3,653.33,32.62
171,C345873,P387975,2023-11-14,6,2890.91,107.41
172,C344214,P498694,2024-11-23,3,1958.44,105.89
173,C691569,P382969,2024-02-01,2,1769.88,1.82
174,C785244,P273314,2023-12-08,8,2052.14,586.58
175,C644249,P801232,2025-02-23,5,3621.73,20.47
176,C372107,P720285,2024-10-16,4,3426.58,298.86
177,C854339,P159362,2023-10-11,6,3607.96,863.96
178,C136772,P429026,2023-10-07,3,2828.39,115.93
179,C884941,P656411,2024-09-29,2,874.55,47.63
180,C894333,P566556,2023-11-23,5,5262.72,193.08
181,C042388,P899452,2024-08-10,4,1166.11,52.17
182,C788211,P029248,2024-07-07,8,4634.87,59.53
183,C982519,P833885,2025-07-13,1,575.85,15.66
184,C910397,P273314,2024-03-12,7,2205.57,103.31
185,C940255,P944501,2024-09-23,6,2557.08,216.66
186,C067730,P309407,2023-03-22,8,6309.57,1043.79
187,C053749,P196667,2023-04-10,8,8484.62,713.78
188,C529393,P196667,2024-04-26,4,3509.82,1089.38
189,C734353,P835266,2025-07-23,6,4976.23,540.77
190,C350253,P980619,2025-03-18,6,5301.08,677.5
191,C617575,P627467,2024-05-01,2,2130.54,205.22
192,C165265,P375227,2023-10-17,6,2127.13,378.65
193,C899595,P436656,2023-04-16,7,1189.43,305.56
194,C810967,P722265,2024-07-23,2,751.81,185.73
195,C934521,P222288,2024-02-15,7,1259.96,79.91
196,C198799,P566556,2023-06-12,8,7891.67,837.61
197,C703796,P710221,2025-04-13,7,66.12,16.13
198,C640078,P798627,2025-03-17,6,2583.42,407.1
199,C667686,P696956,2024-11-09,2,1392.08,315.66
200,C506128,P812662,2025-05-06,8,4607.95,135.57
201,C940255,P222288,2023-11-30,2,304.15,78.67
202,C640228,P800050,2024-02-20,2,1185.15,208.43
203,C637717,P864947,2023-12-02,8,4756.8,914.48
204,C955006,P387671,2023-08-11,3,2038.21,580.97
205,C131197,P888101,2025-02-14,3,2182.78,432.02
206,C377666,P309407,2023-10-26,7,5444.01,990.18
207,C910316,P993502,2023-07-30,6,5790.62,469.06
208,C744651,P160288,2025-07-29,7,1835.57,401.42
209,C423598,P273314,2024-08-19,1,279.42,50.42
210,C457719,P731812,2025-05-17,3,2689.57,728.48
211,C955006,P310596,2025-07-11,1,728.44,0.15
212,C558653,P496878,2023-04-23,5,1033.66,285.49
213,C667686,P207957,2024-12-20,7,6487.25,1201.83
214,C506128,P864947,2024-02-20,7,4422.48,539.89
215,C976191,P696956,2024-05-01,3,2441.07,120.54
216,C645710,P644241,2025-05-10,7,6632.04,266.04
217,C136772,P040587,2023-05-18,1,753.11,13.75
218,C687203,P848742,2025-01-08,8,1531.4,301.48
219,C101165,P880163,2023-05-21,7,6298.78,1725.53
220,C347203,P517566,2024-09-30,3,127.88,16.39
221,C095923,P420341,2025-04-19,8,36.95,3.93
222,C645264,P796107,2024-03-10,1,774.7,130.84
223,C121280,P384081,2024-12-30,5,463.9,53.1
224,C086891,P319092,2024-01-11,1,649.42,210.24
225,C017673,P306313,2024-12-22,6,1333.09,38.81
226,C370660,P010283,2023-05-26,5,634.1,83.4
227,C035403,P801232,2025-06-30,2,1367.56,89.32
228,C918729,P079649,2024-12-01,5,2370.07,428.98
229,C538483,P309407,2025-03-08,1,811.43,107.74
230,C356331,P833885,2024-08-10,6,3175.51,373.55
231,C001662,P934635,2023-06-21,1,563.82,118.58
232,C940255,P160288,2025-01-14,5,1573.32,24.53
233,C498411,P721433,2023-06-23,1,1001.07,196.5
234,C724337,P042751,2023-10-21,8,1250.78,26.34
235,C474324,P079649,2025-05-21,5,2622.67,176.38
236,C563213,P116216,2023-10-09,5,5099.03,18.17
237,C145537,P696956,2025-07-20,3,2139.49,422.12
238,C807420,P696956,2023-09-25,4,3001.42,414.06
239,C967323,P038166,2023-12-18,2,417.58,133.2
240,C636096,P450984,2025-05-07,8,6094.35,1412.77
241,C225608,P776014,2023-09-01,8,7154.02,1586.38
242,C439281,P710221,2024-08-14,6,69.54,0.96
243,C957181,P609544,2023-02-23,3,250.51,32.87
244,C670326,P160288,2024-05-02,4,1156.91,121.37
245,C737329,P055207,2024-04-30,5,3352.23,126.22
246,C640078,P656411,2023-10-23,8,3336.44,352.28
247,C686939,P107697,2024-11-30,1,250.38,6.25
248,C934521,P515811,2025-05-14,7,3691.8,664.93
249,C494998,P908105,2023-12-10,5,3018.53,215.97
250,C344214,P065667,2024-11-01,7,367.81,47.92
251,C384514,P097562,2025-01-21,4,3234.46,483.26
252,C502993,P885016,2023-11-17,1,269.54,54.5
253,C229883,P656411,2024-02-26,2,801.08,121.1
254,C637717,P944501,2023-12-26,4,1513.88,335.28
255,C193408,P357660,2023-02-04,1,395.64,72.49
256,C557055,P645373,2024-09-05,2,1890.55,406.65
257,C670454,P273314,2025-05-26,3,896.52,93.0
258,C698673,P276820,2025-04-02,3,678.1,195.74
259,C347203,P796107,2023-09-17,5,3999.14,528.56
260,C042076,P820680,2025-08-02,5,2319.92,552.48
261,C617080,P155817,2023-09-21,3,128.69,31.21
262,C724234,P366261,2024-01-27,7,3955.58,358.8
263,C058008,P835266,2025-04-12,5,4392.99,204.51
264,C876960,P382115,2025-08-08,4,3314.99,596.85
265,C976694,P382115,2023-04-22,3,2537.34,396.54
266,C505729,P645373,2024-09-20,2,1773.09,524.11
267,C144592,P835266,2023-04-16,1,902.74,16.76
268,C540305,P208944,2025-03-06,8,4160.07,19.61
269,C030990,P661845,2024-10-30,1,127.2,38.69
270,C680175,P055207,2023-09-30,3,1721.8,365.27
271,C224929,P319092,2023-01-04,8,6055.21,822.07
272,C387619,P341596,2024-07-07,4,1598.96,1.32
273,C708207,P306313,2023-05-05,6,1257.54,114.36
274,C985574,P474352,2023-02-26,2,1263.57,127.01
275,C703796,P010283,2025-05-11,8,929.75,218.25
276,C931160,P842673,2023-06-30,1,499.0,159.21
277,C177191,P081878,2023-11-03,7,4227.15,1221.02
278,C918729,P496878,2024-05-13,2,410.89,116.77
279,C555454,P081878,2023-05-24,1,740.74,37.57
280,C830235,P097562,2024-05-15,7,6403.55,102.46
281,C580800,P800050,2024-05-26,8,4227.32,1347.0
282,C687203,P831530,2023-12-14,1,330.84,30.51
283,C819855,P275389,2024-02-20,2,2264.26,126.52
284,C880306,P801232,2024-04-14,3,1780.46,404.86
285,C789728,P069861,2023-02-07,3,2466.19,343.4
286,C298363,P833885,2025-07-17,1,555.62,35.89
287,C870680,P856438,2023-01-15,3,2560.76,481.12
288,C825533,P981945,2024-04-12,3,525.99,138.84
289,C326321,P772985,2023-04-27,8,5735.35,1002.17
290,C563213,P571543,2023-03-06,4,2850.74,339.98
291,C473532,P474352,2023-11-29,2,1051.33,339.25
292,C561221,P489519,2023-05-21,6,1027.66,271.7
293,C884547,P471980,2024-08-30,3,2401.99,219.92
294,C670454,P937934,2023-05-25,7,6856.73,300.7
295,C807420,P420341,2023-06-18,8,38.39,2.49
296,C448653,P275389,2023-05-17,2,1917.97,472.81
297,C384972,P168876,2025-03-07,3,1517.21,5.95
298,C797887,P010283,2023-01-07,1,137.06,6.44
299,C013892,P899452,2024-03-02,8,2014.82,421.74
300,C822594,P848742,2024-10-17,5,995.74,149.81
301,C768580,P097562,2023-06-28,1,790.88,138.55
302,C211686,P814985,2024-09-18,2,644.7,119.88
303,C588080,P442180,2024-03-04,1,135.82,22.0
304,C854339,P429026,2024-06-26,2,1659.16,303.72
305,C875138,P415103,2024-06-03,4,3669.33,481.75
306,C147751,P710221,2023-10-11,1,11.18,0.57
307,C808246,P992250,2024-05-24,3,1660.68,69.09
308,C785244,P676501,2024-10-22,6,349.06,26.78
309,C640078,P208944,2023-12-09,8,4134.42,45.26
310,C991628,P676501,2025-08-05,3,180.5,7.42
311,C982519,P229314,2024-06-11,2,1654.86,29.84
312,C667686,P885695,2024-08-29,6,4888.94,572.14
313,C198895,P722265,2023-08-24,2,861.1,76.44
314,C344214,P384081,2025-01-25,7,566.39,157.41
315,C839449,P571543,2023-03-17,8,5448.01,933.43
316,C910397,P392619,2023-05-29,4,32.44,9.8
317,C229977,P755976,2024-02-01,6,2009.15,70.93
318,C830235,P357660,2024-10-09,6,2123.75,685.03
319,C744441,P825163,2023-05-11,1,891.76,186.62
320,C058008,P116216,2023-05-20,2,1611.07,435.81
321,C833710,P598642,2023-06-25,6,6335.11,368.45
322,C642531,P961816,2025-03-19,3,2719.93,459.53
323,C580502,P649669,2023-03-30,7,5848.79,1594.73
324,C553918,P645373,2024-08-28,8,7266.07,1922.73
325,C332964,P656411,2025-01-17,7,2633.6,594.03
326,C363646,P971430,2023-12-02,7,1303.14,220.76
327,C709445,P661845,2025-07-24,1,148.56,17.33
328,C785244,P275389,2024-04-26,1,1068.17,127.22
329,C184840,P553619,2025-04-09,2,1107.3,141.22
330,C999288,P880163,2024-07-25,1,947.68,198.65
331,C952019,P645373,2023-05-16,6,6381.98,509.62
332,C843251,P387671,2023-01-17,8,5816.26,1168.22
333,C247952,P382969,2025-05-28,1,669.61,216.24
334,C134619,P238925,2025-06-14,7,881.68,42.74
335,C807420,P222288,2024-12-21,1,150.24,41.17
336,C918287,P776014,2025-07-03,6,5685.21,870.09
337,C642531,P201973,2025-02-09,5,2020.42,427.13
338,C311649,P415103,2024-08-12,4,3333.64,817.44
339,C221784,P825163,2025-01-23,1,939.61,138.77
340,C384514,P162734,2025-06-28,1,84.85,2.42
341,C730261,P196667,2024-09-25,1,1044.72,105.08
342,C620251,P775751,2024-12-22,2,906.82,147.86
343,C564091,P679216,2023-05-22,6,6517.47,413.49
344,C884941,P553619,2025-01-25,4,2026.86,470.18
345,C875138,P329645,2023-11-25,6,72.22,20.9
346,C193198,P517566,2023-10-11,1,47.33,0.76
347,C423598,P727843,2024-05-12,2,29.33,3.91
348,C934521,P309407,2025-07-10,5,4076.54,519.31
349,C133686,P627467,2023-07-12,8,9139.11,203.93
350,C224929,P755976,2023-10-23,2,674.4,18.96
351,C724234,P062363,2024-12-14,3,2814.35,398.68
352,C588274,P801232,2024-10-04,1,675.05,53.39
353,C678004,P415103,2025-08-12,3,2744.46,368.85
354,C023628,P885695,2025-01-25,1,843.85,66.33
355,C326321,P918103,2025-06-11,4,1201.23,316.89
356,C959512,P825163,2024-02-26,6,5409.54,1060.74
357,C324357,P229314,2024-08-30,8,5967.2,771.6
358,C017673,P856438,2025-07-08,5,4852.13,217.67
359,C039728,P649669,2024-05-10,6,4831.82,1548.34
360,C661082,P175136,2023-06-01,6,2526.71,193.39
361,C439281,P539972,2024-12-29,5,5558.31,265.39
362,C620251,P450984,2023-06-15,4,3643.85,109.71
363,C446753,P319092,2023-05-10,8,6429.56,447.72
364,C587602,P679216,2024-07-29,1,962.95,192.21
365,C423598,P934771,2024-01-17,8,419.16,65.4
366,C233710,P309407,2023-11-05,2,1415.32,423.02
367,C901113,P814985,2025-02-25,3,875.12,271.75
368,C403269,P450984,2023-01-05,6,4719.29,911.05
369,C642531,P992250,2025-07-06,5,2184.12,698.83
370,C131197,P812662,2024-11-13,3,1423.24,355.58
371,C909474,P885695,2023-12-13,2,1487.4,332.96
372,C005507,P238925,2024-11-25,2,243.78,20.34
373,C445130,P571543,2024-04-01,6,4675.42,110.66
374,C677641,P357660,2024-08-20,4,1506.78,365.74
375,C263770,P116216,2023-07-20,1,1002.05,21.39
376,C910316,P273314,2024-06-08,7,2196.64,112.24
377,C446753,P436656,2023-02-27,6,1154.06,127.36
378,C144592,P201973,2024-01-14,7,3107.19,319.38
379,C635262,P116864,2023-12-26,5,3270.74,1057.81
380,C590483,P273314,2023-08-09,8,2149.55,489.17
381,C632844,P885695,2023-10-23,3,2180.56,549.98
382,C095923,P367946,2023-05-23,2,1649.31,61.43
383,C985574,P992250,2025-06-07,6,3402.36,57.18
384,C709445,P168876,2023-04-01,1,455.75,51.97
385,C006026,P367946,2023-06-29,8,5627.91,1215.05
386,C131197,P238925,2023-07-24,3,313.75,82.43
387,C931160,P420341,2024-05-17,1,4.06,1.05
388,C588080,P473890,2023-11-08,8,621.39,101.01
389,C134619,P329645,2023-01-28,1,14.92,0.6
390,C721441,P833885,2023-05-08,5,2649.11,308.44
391,C513512,P841579,2023-01-30,2,1257.94,297.34
392,C058454,P341596,2024-09-05,6,2051.72,348.7
393,C946606,P392619,2025-06-08,5,44.51,8.29
394,C670326,P429026,2024-01-18,1,774.04,207.4
395,C233710,P721433,2023-03-01,3,3305.58,287.13
396,C617080,P375734,2024-01-01,3,2700.98,36.19
397,C565720,P598642,2024-10-13,6,6621.92,81.64
398,C724337,P107697,2024-10-16,2,447.32,65.94
399,C263770,P885016,2025-02-22,2,551.07,97.01
400,C439281,P489519,2023-11-27,6,1030.78,268.58
401,C637717,P160288,2023-10-05,6,1871.48,45.94
402,C641038,P515811,2025-04-23,3,1861.15,6.02
403,C137483,P899452,2024-01-17,8,2185.6,250.96
404,C233710,P484060,2023-08-12,3,1657.82,238.66
405,C691564,P775751,2024-09-20,2,944.64,110.04
406,C754008,P609544,2025-04-18,3,217.96,65.42
407,C949034,P442180,2023-11-16,6,914.01,32.91
408,C497757,P801232,2025-02-20,6,4182.48,188.16
409,C985574,P444405,2025-02-01,2,851.59,50.13
410,C391908,P848742,2024-12-05,4,846.01,70.43
411,C527077,P856438,2023-03-22,7,5871.91,1225.81
412,C145537,P079649,2023-01-20,8,3630.55,847.93
413,C003524,P993502,2023-04-21,1,836.44,206.84
414,C356331,P366261,2024-04-25,2,952.7,279.98
415,C785244,P627467,2023-11-05,1,947.57,220.31
416,C923885,P679216,2024-08-24,4,4407.19,213.45
417,C894333,P444405,2023-04-03,3,1066.56,286.02
418,C332964,P721433,2023-12-23,6,6897.0,288.42
419,C493098,P097562,2024-06-01,2,1812.8,46.06
420,C641038,P656411,2024-06-25,4,1514.31,330.05
421,C313678,P375227,2025-07-12,1,315.98,101.65
422,C344214,P490957,2025-07-31,8,5382.36,542.84
423,C874462,P796107,2024-03-26,2,1729.2,81.88
424,C948746,P864947,2024-03-10,4,2471.08,364.56
425,C952019,P062363,2025-02-18,6,6227.47,198.59
426,C728645,P801232,2023-05-20,8,4716.98,1110.54
427,C042388,P159362,2024-07-24,1,729.99,15.33
428,C058454,P609544,2024-01-30,5,418.35,53.95
429,C185687,P720285,2024-12-04,8,7030.14,420.74
430,C952019,P934635,2025-05-25,7,4551.35,225.45
431,C876960,P992250,2024-11-26,6,3304.47,155.07
432,C384514,P382115,2024-11-19,2,1762.1,193.82
433,C698071,P880163,2023-05-03,3,3099.55,339.44
434,C391908,P484060,2025-01-29,3,1865.8,30.68
435,C067730,P029248,2023-07-25,7,3981.54,126.06
436,C095923,P814985,2023-10-13,5,1550.04,361.41
437,C529393,P474352,2023-12-31,8,4635.25,927.07
438,C901113,P229314,2024-06-07,5,4056.57,155.18
439,C229977,P772985,2023-05-06,5,3695.8,515.15
440,C260830,P375734,2023-01-31,2,1488.2,336.58
441,C229883,P814985,2024-11-25,1,289.39,92.9
442,C083929,P722265,2023-06-06,5,1979.4,364.45
443,C499661,P079649,2024-11-07,8,3590.92,887.56
444,C744441,P891377,2024-11-08,8,3693.45,515.91
445,C039728,P415103,2023-12-18,1,790.63,247.14
446,C309883,P207957,2025-06-20,2,1986.18,210.7
447,C686939,P168876,2024-03-29,8,4025.22,36.54
448,C640228,P883409,2024-11-06,5,1413.68,401.47
449,C296710,P382115,2024-03-17,3,2704.7,229.18
450,C621743,P229314,2025-02-21,2,1445.11,239.59
451,C513512,P420341,2024-12-02,8,36.02,4.86
452,C353953,P464335,2023-02-27,7,2721.89,191.86
453,C709445,P168876,2024-09-23,6,2462.59,583.73
454,C635262,P155817,2023-03-04,1,45.43,7.87
455,C899595,P162734,2023-12-24,1,70.58,16.69
456,C147751,P465110,2024-01-25,2,608.23,72.91
457,C285751,P900194,2023-12-26,1,266.59,52.8
458,C363646,P384081,2024-10-25,5,440.42,76.58
459,C708207,P627467,2025-06-08,5,5672.29,167.11
460,C456189,P918103,2024-07-05,6,2255.9,21.28
461,C412606,P517566,2024-08-04,7,314.19,22.44
462,C347203,P833885,2024-08-25,1,445.74,145.77
463,C870685,P812662,2024-02-04,6,3048.42,509.22
464,C553918,P330689,2024-12-08,4,2133.49,195.63
465,C193198,P029248,2023-06-20,5,2667.49,266.51
466,C181933,P842673,2024-05-23,2,1039.85,276.57
467,C593747,P490957,2023-10-22,5,3659.24,44.01
468,C047759,P474352,2025-04-03,4,2346.9,434.26
469,C053749,P721433,2023-04-08,6,6694.36,491.06
470,C017673,P107697,2024-05-01,7,1702.22,94.19
471,C754008,P160288,2024-05-31,5,1424.92,172.93
472,C580800,P327724,2023-07-24,7,712.77,79.7
473,C400722,P736478,2024-04-09,3,1727.2,487.79
474,C783807,P498694,2025-06-02,3,1766.63,297.7
475,C884547,P196667,2023-10-02,7,6167.97,1880.63
476,C168088,P366261,2024-06-18,4,2240.84,224.52
477,C697485,P097562,2023-06-04,5,3666.46,980.69
478,C768580,P302996,2025-05-30,2,290.73,54.75
479,C225608,P826289,2025-04-23,5,3267.13,629.32
480,C423939,P384081,2024-02-20,4,401.86,11.74
481,C854339,P444405,2023-09-09,5,1992.71,261.59
482,C558653,P392619,2024-03-08,1,10.03,0.53
483,C006026,P375734,2023-01-30,5,3661.34,900.61
484,C332964,P566556,2023-06-30,1,828.25,262.91
485,C329449,P918103,2023-02-26,2,699.49,59.57
486,C532902,P627467,2025-07-11,7,6342.34,1832.82
487,C136772,P387671,2024-02-11,3,2464.62,154.56
488,C540305,P428001,2025-08-13,2,1699.91,255.11
489,C448653,P387975,2023-09-15,8,3113.69,884.07
490,C703193,P045043,2025-03-02,6,4931.02,442.34
491,C327391,P055207,2025-04-05,4,2131.94,650.82
492,C337780,P848742,2023-04-20,3,650.54,36.79
493,C352547,P155531,2024-02-23,5,4502.8,1238.55
494,C677641,P382115,2024-06-30,6,4841.46,1026.3
495,C145537,P302996,2024-07-12,7,1065.63,143.55
496,C363646,P116216,2025-06-19,3,2791.69,278.63
497,C144592,P310596,2025-04-21,5,3623.76,19.19
498,C553447,P038166,2025-05-11,1,227.84,47.55
499,C136772,P097562,2023-09-17,7,6002.98,503.03
500,C350253,P644241,2025-07-13,2,1707.32,263.56
501,C703193,P885695,2024-02-02,1,703.16,207.02
502,C184840,P065667,2023-11-05,2,90.98,27.8
